Date,Time,Latitude,Longitude
2014-01-01,18:25:00,39.964863,-75.24636264
2014-01-01,22:29:00,39.96069724,-75.23087474
2014-01-02,10:15:00,39.92630885,-75.23755631
2014-01-02,18:32:00,39.96157689,-75.22454377
2014-01-02,20:40:00,39.97029253,-75.23579352
2014-01-03,01:00:00,39.96102915,-75.23287145
2014-01-03,13:05:00,39.98954383,-75.13597482
2014-01-03,20:16:00,39.93668147,-75.21846825
2014-01-04,11:30:00,39.98136422,-75.17889546
2014-01-04,19:05:00,39.92319159,-75.22676753
2014-01-04,21:05:00,39.91321353,-75.24509091
2014-01-04,21:37:00,40.06145533,-75.16156301
2014-01-05,13:45:00,40.0432473,-75.18096434
2014-01-05,17:30:00,39.96500453,-75.23952936
2014-01-05,20:55:00,39.97453978,-75.18352748
2014-01-05,23:15:00,39.92686405,-75.24348745
2014-01-06,03:10:00,39.98748473,-75.16502239
2014-01-07,19:00:00,39.90636127,-75.23521434
2014-01-07,22:00:00,40.04802934,-75.15419342
2014-01-08,10:00:00,39.99352363,-75.12642106
2014-01-08,13:30:00,40.00032648,-75.22837751
2014-01-08,23:00:00,39.96221195,-75.24273747
2014-01-09,01:45:00,39.97200091,-75.22589177
2014-01-09,11:20:00,40.01461187,-75.15658328
2014-01-09,13:00:00,40.03505652,-75.17369406
2014-01-09,14:35:00,39.99597962,-75.09202677
2014-01-09,17:28:00,39.97382825,-75.24531288
2014-01-09,18:48:00,39.99588617,-75.12161374
2014-01-09,18:58:00,39.94578775,-75.24037673
2014-01-09,19:03:00,40.00056069,-75.16865725
2014-01-10,16:40:00,39.95540955,-75.23293412
2014-01-10,18:15:00,39.95598859,-75.24606091
2014-01-10,21:00:00,40.02859595,-75.15032128
2014-01-11,00:01:00,39.98788661,-75.15593752
2014-01-11,10:00:00,39.99965086,-75.19052151
2014-01-11,10:55:00,39.93874355,-75.22429405
2014-01-11,10:55:00,39.93874355,-75.22429405
2014-01-11,17:56:00,39.983854,-75.16177225
2014-01-11,17:56:00,39.983854,-75.16177225
2014-01-11,19:31:00,39.99193337,-75.12601228
2014-01-11,20:09:00,40.00722145,-75.12342851
2014-01-11,23:59:00,39.95181884,-75.22663973
2014-01-12,01:51:00,39.95968167,-75.23521949
2014-01-12,01:51:00,39.95987566,-75.23607576
2014-01-12,21:55:00,39.96094637,-75.23288967
2014-01-12,22:00:00,39.99522544,-75.11578619
2014-01-12,22:00:00,39.99908532,-75.10874088
2014-01-13,00:42:00,39.99210292,-75.10956973
2014-01-13,08:15:00,39.99427379,-75.13227778
2014-01-13,15:10:00,40.09769345,-74.98069188
2014-01-13,17:45:00,39.99414429,-75.13134212
2014-01-13,17:45:00,39.99414429,-75.13134212
2014-01-13,18:50:00,39.96326809,-75.23784417
2014-01-13,20:31:00,39.95599136,-75.2223442
2014-01-14,00:15:00,39.95181884,-75.22663973
2014-01-14,02:13:00,39.98028343,-75.15762858
2014-01-14,11:20:00,39.95840838,-75.23751802
2014-01-14,16:55:00,39.99147015,-75.17509211
2014-01-14,18:35:00,39.94952979,-75.24014981
2014-01-14,19:59:00,39.97501827,-75.15166374
2014-01-14,20:25:00,39.95426928,-75.23247199
2014-01-14,21:30:00,39.99583917,-75.12715316
2014-01-14,23:15:00,39.99568623,-75.09894972
2014-01-14,23:45:00,39.95144375,-75.23491619
2014-01-14,23:55:00,39.96229259,-75.24338935
2014-01-15,00:15:00,39.95181884,-75.22663973
2014-01-15,12:00:00,39.95318116,-75.16125102
2014-01-15,12:09:00,39.98476344,-75.17817872
2014-01-15,12:19:00,39.97606631,-75.23858965
2014-01-15,16:51:00,39.91032807,-75.23737378
2014-01-15,19:37:00,39.95225414,-75.22857057
2014-01-15,19:37:00,39.95068007,-75.2289107
2014-01-15,21:55:00,39.95522663,-75.22587556
2014-01-15,22:30:00,39.99211754,-75.11800385
2014-01-15,22:30:00,39.99058224,-75.11840643
2014-01-16,02:15:00,39.99361393,-75.12707619
2014-01-16,02:15:00,39.99361393,-75.12707619
2014-01-16,08:00:00,39.9403903,-75.2156648
2014-01-16,09:52:00,39.96724776,-75.23895185
2014-01-16,10:22:00,39.93944822,-75.22597593
2014-01-16,10:23:00,39.93576274,-75.22431693
2014-01-16,13:45:00,39.96359776,-75.24047526
2014-01-16,14:45:00,39.97493036,-75.15165237
2014-01-16,22:10:00,39.95119531,-75.23279536
2014-01-16,22:58:00,39.94725721,-75.22683571
2014-01-17,10:30:00,39.99587744,-75.18214251
2014-01-17,10:50:00,39.9899405,-75.14836762
2014-01-17,10:50:00,39.9899405,-75.14836762
2014-01-17,11:20:00,39.98002561,-75.16248753
2014-01-17,12:25:00,39.98724586,-75.13937576
2014-01-17,14:45:00,39.97916847,-75.1841396
2014-01-17,19:35:00,39.95992961,-75.23103386
2014-01-18,10:20:00,40.03675439,-75.06456157
2014-01-18,13:29:00,39.95783415,-75.24772674
2014-01-18,17:00:00,39.9826934,-75.15321683
2014-01-18,17:17:00,39.99131497,-75.15853013
2014-01-18,19:25:00,40.00724858,-75.14796397
2014-01-18,22:19:00,39.97589554,-75.15846522
2014-01-19,00:10:00,39.99837134,-75.09939064
2014-01-19,04:15:00,39.99836016,-75.10888504
2014-01-19,09:24:00,39.91950401,-75.24023445
2014-01-19,19:00:00,39.98578752,-75.1596832
2014-01-20,01:00:00,39.99926878,-75.11484894
2014-01-20,01:00:00,39.99926878,-75.11484894
2014-01-20,09:00:00,39.98888785,-75.163319
2014-01-20,13:20:00,39.96086271,-75.22473103
2014-01-20,14:55:00,39.99538653,-75.16602379
2014-01-20,15:32:00,39.98034348,-75.17092831
2014-01-20,15:40:00,40.05057238,-75.14221677
2014-01-20,15:40:00,40.05057238,-75.14221677
2014-01-20,15:45:00,40.04967345,-75.16053121
2014-01-20,16:57:00,39.93828346,-75.22379175
2014-01-20,17:32:00,40.04446407,-75.09903017
2014-01-20,17:40:00,39.93740738,-75.2202208
2014-01-20,18:05:00,39.93237164,-75.22458313
2014-01-20,19:11:00,39.91643865,-75.17319481
2014-01-20,19:14:00,39.92050536,-75.24424619
2014-01-21,10:48:00,39.99662433,-75.14450666
2014-01-21,12:05:00,39.9460215,-75.23942945
2014-01-21,15:08:00,39.93371268,-75.23079345
2014-01-21,20:44:00,39.99546928,-75.12992358
2014-01-21,21:00:00,40.03330747,-75.12404817
2014-01-21,22:34:00,39.95621469,-75.2198461
2014-01-22,09:45:00,39.97792048,-75.17343699
2014-01-22,11:04:00,39.95448119,-75.16325771
2014-01-22,11:49:00,39.95266025,-75.23956679
2014-01-22,17:25:00,39.92653258,-75.18635608
2014-01-22,17:28:00,40.0268029,-75.14834236
2014-01-22,17:28:00,40.0268029,-75.14834236
2014-01-22,17:40:00,40.0268029,-75.14834236
2014-01-22,17:40:00,40.0268029,-75.14834236
2014-01-22,18:05:00,39.93565319,-75.21992402
2014-01-22,18:40:00,39.93565319,-75.21992402
2014-01-22,19:00:00,40.04161289,-75.06271954
2014-01-22,19:00:00,39.92308089,-75.22909266
2014-01-22,19:30:00,39.9910012,-75.10485775
2014-01-22,20:35:00,40.05752906,-75.14929133
2014-01-22,21:25:00,40.05565436,-75.18551597
2014-01-22,22:00:00,40.03693687,-75.14459959
2014-01-23,11:25:00,39.95640305,-75.24022835
2014-01-23,11:35:00,39.98189223,-75.2389811
2014-01-23,18:00:00,39.98579607,-75.21568246
2014-01-23,18:15:00,39.96994989,-75.23414638
2014-01-23,20:40:00,40.01746525,-75.0855533
2014-01-23,20:40:00,40.01746525,-75.0855533
2014-01-23,21:30:00,40.00661098,-75.21348928
2014-01-24,00:34:00,39.97505977,-75.23341238
2014-01-24,01:25:00,40.0080281,-75.10485389
2014-01-24,09:15:00,39.92421356,-75.17632121
2014-01-24,12:19:00,39.99602726,-75.17434181
2014-01-24,12:19:00,39.99609122,-75.17417123
2014-01-24,12:30:00,39.92765147,-75.17556504
2014-01-24,13:00:00,39.95503486,-75.229853
2014-01-24,16:50:00,40.02468023,-75.14875711
2014-01-24,20:15:00,40.04494711,-75.16387664
2014-01-24,20:15:00,40.04850181,-75.16982318
2014-01-24,22:45:00,40.0479377,-75.16889727
2014-01-25,00:10:00,39.97926961,-75.16273513
2014-01-25,01:49:00,39.9754126,-75.18996331
2014-01-25,04:42:00,39.99344661,-75.1179202
2014-01-25,07:53:00,39.983854,-75.16177225
2014-01-25,08:50:00,39.95460097,-75.22600483
2014-01-25,10:35:00,39.99393691,-75.13027904
2014-01-25,14:10:00,39.99224874,-75.1266695
